File Extension,Full Name,Note
marcs,Master Arc,"New with the red side, required due to sensitvity to cosmic rays."
mbias,Master Bias,
mcbars,Master Continuum Bars,
mdarks,Master Dark,
mdome,Master Dome Flat,
mflat,Master Internal Flat,
mobj,Master Object,"Only created if multiple exposures of the same target are collected. Can mitigate cosmic rays, in certain situations."
mtwif,Master Twilight Flat,
sdome,Stacked Dome Flat,"Stacked, but un-merged Dome Flat"
sflat,Stacked Internal Flat,"Stacked, but un-merged Internal Flat"
stwif,Stacked Twilight Flat,"Stacked, but un-merged Twilight Flat"
